question,answer,A,B,C,D,Category,Human Accuracy
사무자동화 시스템의 평가 방법 중 설문조사 등을 통해 간접적으로 평가하는 방법은?,2,투자효율산정법,정성적평가법,상대적평가법,절대적평가법,Information Technology,0.7726999999999999
관계형 데이터베이스에서 속성(attribute)들이 가질 수 있는 값들의 집합은?,1,도메인,튜플,엔티티,릴레이션,Information Technology,0.7143
사무관리의 정의에 대한 설명으로 가장 적합하지 않은 것은?,4,사무활동과 기능을 원활히 수행하기 위한 관리행위,사무 작업을 과학적 관리 등을 이용하여 효율적으로 수행하는것,"조직체 운영에 필요한 정보를 효율적, 합리적으로 생산, 유통 및 활용하기 위한 관리","경영의 최상위 개념으로 계획, 조작, 통제 및 의사결정의 활동",Information Technology,0.55
"길브레스(Gilbreath)의 ""동작의 경제원칙""을 가장 잘 나타내고 있는 것은?",4,발로 할 수 있는 일은 오른손을 사용한다.,왼손으로 할 수 있는 작업이라도 오른손을 사용한다.,가능한 한 양손이 동시에 작업을 시작하되 끝날 때는 각각 끝나도록 한다.,이 원칙은 생산작업뿐만 아니라 사무작업에도 응용할 수 있다.,Information Technology,0.7059000000000001
문서의 결재에 관한 설명 중 옳지 않은 것은?,4,결재권자의 서명란에는 서명날짜를 함께 표시한다.,"위임전결하는 경우에는 전결하는 사람의 서명란에 ""전결"" 표시를 한 후 서명하여야 한다.","대결(代決)하는 경우에는 대결하는 사람의 서명란에 ""대결"" 표시를 하고 서명하여야 한다.","위임전결사항을 대결하는 경우에는 전결하는 사람의 서명란에 ""대결"" 표시를 하고 서명하여야 한다.",Information Technology,0.7646999999999999
컴퓨터 단말기 조작업무에 대한 조치로 옳지 않은 것은?,4,실내는 명암의 차이가 심하지 않도록 한다.,직사광선이 들어오지 않는 구조로 한다.,"창, 벽면 등은 반사되지 않는 재질을 사용한다.",고휘도형 조명기구를 사용한다.,Information Technology,0.5333
행정기관 등에 송신한 전자문서는 언제 송신자가 발송한 것으로 보는가?,4,그 전자문서의 발신시점이 정보시스템에 의하여 전자적으로 결재된 때,그 전자문서의 송신시점이 종보시스템에 의하여 전자적으로 결재된 때,그 전자문서의 발신시점이 정보시스템에 의하여 전자적으로 기록된 때,그 전자문서의 송신시점이 정보시스템에 의하여 전자적으로 기록된 때,Information Technology,0.6111
사무표준화의 대상만으로 묶여진 것은?,2,"정책, 재료, 인간, 금전, 의사결정","정책, 기계와 비품, 방법, 금전","정책, 재료, 기계와 비품, 의사결정","정책, 기계와 부품, 금전, 환경적응",Information Technology,0.4736999999999999
EDI의 특징으로 틀린 것은?,3,거래 쌍방의 자주성과 독립성이 보장된다.,독립된 데이터베이스를 가진다.,구조화되지 않은 데이터로 전송할 수 있다.,서류없는 거래(paper less trade)가 가능하다.,Information Technology,0.7333
사무작업의 정확도를 향상시키기 위한 표준으로 작업 단위의 수가 보통 %로 표시되는 사무표준의 종류는?,2,양 표준,질 표준,양 및 질 표준,정책 표준,Information Technology,0.6875
보고를 필요로 하는 경우가 아닌 것은?,3,효율적인 정책 수립을 위하여,사업결과를 평가하기 위하여,부서간 기관간 수평적인 의사전달을 위하여,업무를 독력하고 협조를 위하여,Information Technology,0.4736999999999999
서식 결재에 관한 일반 원칙으로 틀린 것은?,3,서식에는 용지의 규격과 지질을 표시하여야 한다.,민원서식에는 민원인의 편의를 도모하기 위하여 그 민원업무의 처리 흐름도 등을 표시하여야 한다.,법령에서 서식에 날인하여야 한다고 정하고 있지 아니하면 서명이나 날인을 할 수 없다.,서식에는 불필요하거나 활용도가 낮은 항목을 넣어서는 아니 된다.,Information Technology,0.5
조직을 효율적으로 운영하기 위한 사무조직의 요건에 알맞지 않은 것은?,4,목적과 양을 가진 업무(작업)가 있어야 한다.,업무와 업무와의 관계가 분명하여야 한다.,직원과 업무와의 관계가 명확하여야 한다.,직원의 희망이나 만족은 조직에 의하여 베타적이어야 한다.,Information Technology,0.6667000000000001
산업안전보건기준에 관한 규칙에 의거 공기정화설비 등에 의하여 사무실로 들어오는 공기의 기류속도 기준은?,2,매 초당 0.1 미터 이하,매 초당 0.5 미터 이하,매 초당 0.7 미터 이하,매 초당 1.0 미터 이하,Information Technology,0.4443999999999999
데이터베이스제작자의 권리 발생과 존속 기준으로 옳은 것은?,3,"데이터베이스의 제작을 공표한 때부터 발생하며, 그 다음 해부터 기산하여 5년간 존속","데이터베이스의 제작을 공표한 때부터 발생하며, 그 해부터 기산하여 5년간 존속","데이터베이스의 제작을 완료한 때부터 발생하며, 그 다음 해부터 기산하여 5년간 존속","데이터베이스의 제작을 완료한 때부터 발생하며, 그 해부터 기산하여 5년간 존속",Information Technology,0.4736999999999999
라인 조직의 지휘ㆍ명령의 통일성을 유지하면서 전문화의 원리를 살리기 위하여 스텝 제도를 절출시킨 형태로 에머슨식 조직이라고도 하는 것은?,3,사업부제 조직,매트릭스 조직,직계참모 조직,직능별 조직,Information Technology,0.5
사무작업의 측정법과 관계없는 것은?,4,스톱워치법,워크 샘플링법,표준시간 자료법,추상적 측정법,Information Technology,0.7333
C 언어에느 사용되는 이스케이프 스퀀스(Escape Sequence)와 그 의미의 연결이 옳지 않는 것은?,2,\n : new line,\b : null character,\t : tab,\r : carriage return,Information Technology,0.8125
단항 연산으로만 나열된 것은?,4,"OR, COMPLEMENT, MOVE","COMPLEMENT, MOVE, AND","NOT, COMPLEMENT, XOR","NOT, COMPLEMENT, MOVE",Information Technology,0.5294
A - ( D * K )  인 중위식을 후위식으로 옳게 표현한 것은,2,- D A * K,A D K * -,A - D * K,A * D - K,Information Technology,0.4286
"원시 프로그램을 컴파일러가 수행되고 있는 컴퓨터의 기계어로 변역하는 것이 아니라, 다른 기종에 맞는 기계어로 변역하는 것은?",3,Interpreter,Linker,Cross Compiler,Preprocessor,Information Technology,0.6875
묵시적 제어에 관한 설명으로 가장 적절한 것은?,4,수치 자료에 대한 제어를 의미한다.,미리 지정된 순서를 프로그래머가 직접 변경한다.,문자 자료에 대한 제어를 의미한다.,프로그래머가 직접 제어하지 않는 경우 미리 정해진 순서대로 제어한다.,Information Technology,0.7857
원시 프로그램을 하나의 긴 스트링으로 보고 원시 프로그램을 문자 단위로 스캐닝 하여 문법적으로 의미있는 일련의 문자들로 분할해 내는 역할을 하는 것은?,2,구문분석기,어휘분석기,디버거,선행처리기,Information Technology,0.5882000000000001
서브루틴 호출 처리 작업시 복귀주소를 저장하고 조회하는 용도로 적합한 자료 구조는?,3,데크,큐,스택,연결리스트,Information Technology,0.5882000000000001
"언어의 구문 요소 중 프로그램의 판독성을 향상시키며, 프로그램 문서화의 중요한 부분을 담당하는 것은?",2,식별자,주석,상수,예약어,Information Technology,0.6667000000000001
C 언어에서 사용하는 기억 클래스의 종류가 아닌 것은?,3,Automatic variable,Register Variable,Message Variable,Static Variable,Information Technology,0.6875
오류가 검출되면 자동적으로 송신 스테이션에게 재전송을 요청하는 ARQ 기법의 형태가 아닌 것은?,3,Stop-and-Wait ARQ,Go-back-N ARQ,Responsive-send ARQ,Selective-Repeat ARQ,Information Technology,0.5294
패킷교환에서 가상회선방식과 비교하여 데이터 그램 방식의 장점으로 틀린 것은?,2,짧은 메시지를 전송할 경우 훨씬 빠르다.,"모든 패킷이 항상 보내어진 순서대로 도착하고, 패킷의 에러 복구가 가능하다.",망의 혼잡 상황에 따라 적절한 경로로 패킷을 전달할 수 있는 융통성이 크다.,우회 경로로 패킷을 전달할 수 있으므로 신뢰성이 높다.,Information Technology,0.5714
데이터 통신에서 오류 검출 기법으로 틀린 것은?,2,패리티 검사,허프만 검사,블록 합 검사,순환 중복 검사,Information Technology,0.6429
회선교환방식에 비해 메시지 교환 방식의 장점으로 틀린 것은?,4,송신측과 수신측이 동시에 운영 상태에 있을 필요가 없다.,1개의 메시지를 여러 단말 장치로 복사하여 보낼 수 있다.,한 노드에 전송대기 상태에 있는 메시지가 많다면 우선순위가 높은 메시지를 먼저 전송할 수 있다.,회선의 효율성이 매우 낮다.,Information Technology,0.4761999999999999
LAN에서 중앙의 교환기가 고장이 나면 시스템이 일시에 통신 불능이 되는 토폴리지(topology)는?,3,링(Ring),버스(Bus),스타(Star),트리(Tree),Information Technology,0.8
정보통신 시스템의 신호 변환장치가 아닌 것은?,1,TEC,Modem,CODEC,DSU,Information Technology,0.6667000000000001
시분할(time-sharing) 시스템의 설명으로 거리가 먼 것은?,3,실시간(real-time) 응답이 주로 요구된다.,컴퓨터와 이용자가 서로 대화형으로 정보를 교환한다.,컴퓨터 파일 자원의 공동이용이 불가능하다.,다수의 단말기가 1대의 컴퓨터를 공동으로 사용한다.,Information Technology,0.5263
불균형적인 멀티포인트 링크 구성에 회선제어 방식 중 주 스테이션이 각 부 스테이션에게 데이터 전송을 요청하는 것은?,1,폴링,셀렉션,슬라이딩 윈도우,멀티드롭,Information Technology,0.8889
MHS(Message Handling System)를 구성하는 3요소가 아닌 것은?,4,사용자,유전 에이전트,메시지 전송 에이전트,보안 정책,Information Technology,0.7
사무실의 생산성과 관련된 특징으로 옳지 않은 것은?,4,성과가 투입된 시점부터 훨씬 늦게 나타난다.,직접 산출효과 이외에 축적 산출효과가 있다.,사무실의 생산성은 직접적으로 평가할 수 없다.,투입 자원을 정량화하기가 어렵다.,Information Technology,0.4783
사무자동화의 방법론에 대한 설명으로 옳지 않은 것은?,3,"전사적 접근 방식 : 소규모 조직이나 신설 조직에 적합한 방식으로 사무자동화 대상이 되는 모든 시스템, 전 업무, 전 계층에 걸쳐 추진되는 방식","부분 전개 접근 방식 : 기획, 인사, 관리 등 전시 효과가 크고 수행이 쉬운 부서를 우선적으로 고려하여 추진하는 방식","계층별 접근 방식 : 사무자동화 기기를 시험적으로 도입하여 사용자의 사무자동화 이해도를 높이고, 단계적으로 적용 분야를 넓혀가는 방식",업무별 접근 방식 : 업무 개선이 우선되어야 할 분야부터 시작하여 완료시까지 업무의 흐름에 따라 사무자동화를 추구해 나가는 방식,Information Technology,0.6429
"컴퓨터에 중앙처리장치와 별도로 입출력을 위한 전용의 프로세서를 두는 가장 큰 이유는? (단, 입출력 프로세서를 IOP라고 함)",2,IOP가 제어신호를 잘 받을 수 있도록 한다.,CPU가 입출력을 제어해야 하는 부담을 덜어줌으로써 전체 처리속도의 향상을 가져온다.,IOP가 입출력에 관계되는 일을 CPU에게 지시할 수 있도록 하여 프로그램을 로드를 줄인다.,프로세서를 여러 개 두어 회로를 단순하게 한다.,Information Technology,0.5882000000000001
전자상거래시 전자적 대금지급 관련자와 상관없는 자는?,3,전자결제수단의 발행자,전자결제서비스 제공자,전자결제서비스 책임자,전자결제서비스의 이행을 보조하는 자,Information Technology,0.6154
데이터베이스의 뷰(view)에 대한 설명으로 옳지 않은 것은?,1,뷰를 제거할 때는 DELETE문을 사용한다.,실제로는 존재하지 않는 가상의 테이블이다.,데이터 접근 제어로 보안을 제공한다.,실제 저장된 데이터 중에서 사용자가 필요한 내용만을 선별해서 볼 수 있다.,Information Technology,0.5832999999999999
인터넷에서 개인과 개인이 직접 연결되어 파일을 공유하는 것을 의미하는 것은?,2,peer to person,peer to peer,person to peer,person to person,Information Technology,0.4167
비디오텍스 활용 분야로 옳지 않은 것은?,4,정보검색,일기예보,메시지전달,전화감청,Information Technology,0.6923
전자화폐의 특징에 해당하지 않은 것은?,1,전자화폐는 한국은행에서 발행한다.,사적인 비밀보장이 갖추어져야 한다.,다른 사람에게 이전이 가능해야 한다.,전자화폐의 보안성이 물리적인 존재에 의존해서는 안 된다.,Information Technology,0.7692
사무자동화 추진을 위한 하향식(top-down) 접근 방식의 특징으로 옳은 것은?,1,최고 경영자에게 필요한 정보를 즉시 제공할 수 있어서 실효성이 크다.,기업의 최하위 단위부터 자동화하여 그 효과를 점차 중대시키는 방식이다.,시행착오로 인한 전체적인 비용이 증가되는 경우가 발생할 수 있다.,요구되는 사무자동화 시스템을 구축하는 시간이 많이 소요된다.,Information Technology,0.7333
"기업이 잘 정리된 방법으로 고객관계를 관리해 나가기 위해 필요한 방법론이나 소프트웨어로서, 대개 인터넷 서비스 기능을 갖는 것을 무엇이라 하는가?",1,CRM,POS,MIS,DSS,Information Technology,0.7692
사무자동화 추진의 선결과제로 옳지 않은 것은?,2,사무환경 재정비,데이터베이스 정비,사무관리제도 개혁,조직 및 체계의 재정비,Information Technology,0.4167
정보의 송수신을 원활하게 하기 위하여 정보를 일시적으로 저장하여 처리 속도의 차를 흡수하는 방식은?,2,streaming,buffering,caching,mapping,Information Technology,0.6364
"백화점이나 전시장 또는 공항이나 철도역 같은 곳에 설치되어 각종 행사절차나 상품정보, 시설물의 이용방법, 인근지역에 대한 관광 정보 등을 제공하는 무인정보 단말기는?",3,CTI,RF 단말기,KIOSK,ATM,Information Technology,0.7273000000000001
인터넷 웹사이트의 방문기록을 남겨 사용자와 웹사이트 사이를 매개해 주는 것은?,1,cookie,DNS,LAN,IP,Information Technology,0.9091
일반 사무실에서 눈이나 신경의 피로를 덜기 위한 가장 적정한 조도(Lux) 기준은?,1,500,1000,1500,2000,Information Technology,0.9091
사무실 배치관리의 목표로 옳지 않은 것은?,4,사무작업의 흐름이 효율적으로 되기 위함이다.,고객이나 방문객에 좋은 인상을 줄 수 있도록 하기 위함이다.,감독자가 사무직원의 감독을 용이하게 하기 위함이다.,사무량의 증감이나 성장에 관계없이 고정된 배치를 유지하기 위함이다.,Information Technology,0.6
"방송통신위원회는 침해사고에 적절히 대응하기 위하여 관련 업무를 수행하고, 필요하면 업무의 전부 또는 일부를 어디에서 수행하도록 할 수 있는가?",2,전파진흥원,한국인터넷진흥원,정보통신산업협회,한국정보화진흥원,Information Technology,0.5
사무 관리의 절차적 접근방법에 대한 설명으로 옳은 것은?,2,사무원이 사무작업을 능률적으로 수행하도록 집행환경이 정비되어야 한다.,"사무관리 활동으로 과정을 주목하고 절차적, 구조적 체계를 중시한다.","작업의 주체자가 문제되고 그 목적, 현상의 발생, 형태가 문제가 된다.","사무 생산은 서사, 계산, 회의 등 사무작업에 의해서 이루어진다.",Information Technology,0.5832999999999999
"길브레스 부부는 인간의 동작을 구성하는 기본적인 요소를 18가지의 미세동작으로 나누고 이 미세동작이 결합함으로써 작업이 수행 된다고 보았으며, 이 18가지의 미세동작을 기호화하였는데 그 기호의 이름은?",3,symbol,code,therblig,mark,Information Technology,0.6364
사무분석기법 중 사무처리방법의 파악을 위하여 사무작업 시간이 적정한가를 분석하는 기법은?,2,사무공정분석,사무작업분석,사무가동분석,사무분담분석,Information Technology,0.5455
정보통신망 이용촉진 및 정보보호 등에 관한 법령상 전년도 말 기준 직전 3개월간의 일일평균 이용자수가 5만명 이상인 경우 주민등록번호를 사용하지 아니하고도 회원으로 가입할 수 있는 방법을 제공하여야 하는 것은?,4,"전자상거래 서비스, 게임 서비스, 포털 서비스","전자상거래 서비스, 포털 서비스","게임 서비스, 전자상거래 서비스",포털 서비스,Information Technology,0.5455
저작권법에 대한 설명으로 옳지 않은 것은?,4,저작권법의 목적은 저작자의 권리와 이에 인접하는 권리를 보호함으로써 문화의 향상발전에 이바지하는 것이다.,공동저작물의 저작인격권은 저작자의 전원 합의에 의하지 않고는 이를 행할 수 없다.,학교의 교육목적상 필요한 교과용 도서에는 공표된 저작물을 게재할 수 있다.,공표된 저작물을 영리의 목적으로 사용하지 않고 개인적으로 이용하는 경우에도 복제할 수 없다.,Information Technology,0.4167
공공기록물 관리에 관한 법령에 의거 기록물 생산현황은 기록물의 정리 완료 후 언제 작성하여야 하는가?,3,생산번호가 생산된 후,생산번호가 생산되기 전,결과가 전자기록생산시스템의 등록정보에 반영된 후,결과가 전자기록생산시스템의 등록정보에 반영되기 전,Information Technology,0.4167
C 언어에서 사용하는 데이터 형식 규정 서술자 중 인수를 10진 정수로 변환할 때 사용하는 것은?,4,%c,%s,%f,%d,Information Technology,0.5
기계어의 설명으로 틀린 것은?,2,프로그램의 실행 속도가 빠르다.,프로그램의 유지 보수가 용이하다.,호환성이 없고 기계마다 언어가 다르다.,2진수를 사용하여 데이터를 표현한다.,Information Technology,0.6
BNF 표기법 중 “반복”을 의미하는 것은?,4,<>,|,::=,{ },Information Technology,0.6
변수(Variable)에 대한 설명으로 옳지 않은 것은?,3,프로그램 실행 과정에서 하나의 기억 장소를 차지한다.,변수의 유형은 컴파일 시간에 한번 정해지면 일반적으로 그대로 유지한다.,프로그램이 동작하는 동안 절대로 값이 바뀌지 않는 공간을 의미한다.,"변수는 이름, 값, 속성, 참조의 요소로 구성된다.",Information Technology,0.6
프로그래밍 언어에서 사용되는 예약어(Reserved Word)에 대한 설명으로 거리가 먼 것은?,4,프로그램에서 변수명으로 사용할 수 없다.,번역 과정에서 속도를 높여준다.,프로그램의 신뢰성을 향상시켜줄 수 있다.,새로운 언어에서는 예약어의 수가 줄어들고 있다.,Information Technology,0.5455
C 언어에서 사용되는 이스케이프 시퀀스(Escape Sequence)와 그 의미의 연결이 옳지 않은 것은?,1,\ b : page skip,\ n : new line,\ t : tab,\ r : carriage return,Information Technology,0.8181999999999999
객체지향 기법에서 객체가 메시지를 받아 실행해야 할 구체적인 연산을 정의한 것은?,1,메소드,클래스,속성,인스턴스,Information Technology,0.8181999999999999
컴퓨터 프로그램에서 잘못된 부분을 찾아서 수정하거나 처리 과정을 의미하는 것은?,1,디버깅,필터링,포인터,매크로,Information Technology,1.0
프로그램 수행에는 영향을 주지 않고 프로그램의 판독성을 향상시키는 언어 구문 요소는?,4,Constant,Variable,Key Word,Comment,Information Technology,0.6364
어휘 분석의 주된 역할은 원시 프로그램을 하나의 긴 스트링으로 보고 원시 프로그램을 문자 단위로 스캐닝 하여 문법적으로 의미 있는 일련의 문자들로 분할해 내는 것을 말한다. 이때 분할된 문법적인 단위를 무엇이라고 하는가?,1,토큰,오토마타,BNF,모듈,Information Technology,1.0
다중 프로그래밍 시스템이나 가상기억장치를 사용하는 시스템에서 너무 자주 페이지 교체가 일어나서 시스템의 심각한 성능저하를 초래하는 현상을 무엇이라고 하는가?,3,interrupt,deadlock,thrashing,working set,Information Technology,0.5455
"최근의 사용 여부를 확인하기 위해서 각 페이지마다 2개의 비트, 즉 참조 비트와 변형 비트가 사용되는 페이지 교체 알고리즘은?",2,LRU,NUR,FIFO,OPT,Information Technology,0.5455
호스트 A에서 사용하는 데이터 형식은 ASCII이고 호스트 B에서 사용하는 데이터 형식은 EBCDIC인 경우에 두 호스트간의 통신을 가능하게 하기 위해서는 데이터 형식간의 변환 기능이 요구된다. 이러한 기능은 OSI 7계층 중 어느 계층에서 수행되는가?,4,물리 계층,데이터링크 계층,세션 계층,표현 계층,Information Technology,0.4706
IEEE802 시리즈의 표준화 모델이 바르게 연결된 것은?,3,IEEE 802.2 - 매체접근 제어(MAC),IEEE 802.3 - 광섬유 LAN,IEEE 802.4 - 토큰 버스(Token Bus),IEEE 802.5 - 논리링크 제어(LLC),Information Technology,0.5455
중앙처리장치의 구성요소 중 제어 장치에 속하지 않는 것은?,2,메모리 버퍼 레지스터,데이터 레지스터,프로그램 카운터,명령 레지스터,Information Technology,0.5
통합화 소프트웨어 패키지(package)에 관한 설명으로 틀린 것은?,4,퍼스널 컴퓨터상에서 표계산 및 워드프로세스 기능 등을 한 개의 프로그램으로 처리할 수 있도록 한 것이다.,상호간에 파일을 공용할 수 있도록 한다.,처리 도중에 별개의 기능을 사용해서 결과를 결합시켜 사용하기 편리하다.,기능이 복잡하여 업무처리에 비효율적이고 비경제적이다.,Information Technology,0.7778
사무자동화의 단계별 추진절차가 옳은 것은?,1,분석 → 계획 → 운용,계획 → 운용 → 분석,운용 → 분석 → 계획,분석 → 추진 → 계획,Information Technology,0.8234999999999999
관계형 데이터베이스에서 기본 키(Primary Key)가 가져야 할 성질은?,3,공유성,중복성,식별성,연결성,Information Technology,0.7646999999999999
전자우편시스템을 이용해서 사내 야유회 공고를 하고 싶을 때 전자우편 시스템 기능 중 어느 것을 이용하는 것이 가장 좋은가?,3,반송,일시지정송신,동보지정,회부,Information Technology,0.7333
사무자동화 추진 전략 중 전사적(사내에서의) 접근 방식의 장점으로 옳은 것은?,1,시스템 도입의 낭비를 줄일 수 있다.,과제개선 후 정착이 빨리 될 수 있다.,"직무별, 계층별로 자동화하기 때문에 소요예산이 절감된다.",업무 루틴대로 자동화하기 때문에 스펙 작성이 쉽다.,Information Technology,0.5556
표준양식을 가지고 구조화된 데이터를 전송해서 수신측의 컴퓨터가 직접 처리 가능하도록 하는 것은?,4,E-mail,FAX,BcN,EDI,Information Technology,0.5333
문자 다중방송(teletext)의 설명으로 옳지 않은 것은?,4,문자와 도형에 의한 화상정보를 디지털 신호 형태로 TV전파 사이에 전송한다.,수신측에서는 디코더에 의해 영상신호로 변환하여 TV 등에 표시하는 방송 시스템이다.,"뉴스, 일기예보 등의 필요한 정보를 수시로 선택수신 가능하다.","각종 정보검색이나 홈쇼핑 등의 서비스를 제공하는 유선, 쌍방향 화상정보 시스템이다.",Information Technology,0.7778
컴퓨터의 출력 정보를 마이크로 이미지 촬영기를 이용하여 온라인 및 마이크로필름으로부터 오프라인으로 촬영현상을 처리하는 시스템은?,1,COM,CAR,OCR,CAM,Information Technology,0.5625
컴퓨터를 데이터 취급(형태)에 따라 분류할 경우 옳게 구분된 것은?,1,"아날로그컴퓨터, 디지털컴퓨터, 하이브리드컴퓨터","소형컴퓨터, 중형컴퓨터, 대형컴퓨터","개인용컴퓨터, 과학용컴퓨터, 범용컴퓨터","마이크로컴퓨터, 탁상용컴퓨터, 사무처리용컴퓨터",Information Technology,0.6923
"비디오텍스 방식 중 도형 정보는 미리 정해진 모자이크 패턴의 조합으로 표현하며, 수신 단말기에서는 내부의 문자 ftodrl에 의해 정해진 모자이크 패턴으로 그림을 표시하는 것은?",1,알파 모자이크 방식,알파 앤 오메가 방식,알파 지오메트릭 방식,알파 포토그래픽 방식,Information Technology,0.6429
경영정보시스템(MIS)이 초기에 실패한 이유로 가장 거리가 먼 것은?,2,H/W나 S/W의 제한된 능력,경영정보시스템 개념의 완성,사용자(경영자)들의 컴퓨터에 대한 이해부족,컴퓨터전문가(개발자)들의 경영관리에 대한 이해부족,Information Technology,0.3846
정보통신망에서 개인정보의 안전성 확보에 필요한 기술적인 조치에 해당하지 않은 것은?,4,개인정보에 대한 접근 권한을 확인하기 위한 식별 및 인증 조치,"접속기록의 위조, 변조 방지를 위한 조치",침해사고 방지를 위한 보안프로그램의 설치 및 운영,개인정보보호를 위한 정기적인 자체 감사 실시,Information Technology,0.5455
문서 처리의 원칙으로 볼 수 없는 것은?,3,즉일처리의 원칙,책임처리의 원칙,폐소처리의 원칙,법령적합의 원칙,Information Technology,0.7692
관리의 행동 과정 중 계획화(Planning)에 속하지 않는 것은?,3,목적을 달성하기 위한 전망 및 예측,목적을 달성하기 위한 방침 설정,목적을 달성하기 위한 재원할당 및 분배,목적을 달성하기 위한 기본지침과 방법 설정,Information Technology,0.6667000000000001
"산업안전보건기준에 의거 “강렬한 소음 작업”의 기준이 되는 것은? (단, 1일 기준임)",2,115데시벨 이상의 소음이 10분 이상 발생하는 작업,115데시벨 이상의 소음이 15분 이상 발생하는 작업,115데시벨 이상의 소음이 30분 이상 발생하는 작업,115데시벨 이상의 소음이 60분 이상 발생하는 작업,Information Technology,0.5832999999999999
사무계획 요소와 내용에 관한 설명 중 옳지 않은 것은?,1,예측(Forecast)은 경영활동을 하기 위한 지표이다.,방침(Policy)은 목표를 달성하기 위한 원칙이다.,스케줄(Schedule)은 해야 할 일에 대한 시간적 순서이다.,프로그램(Program)은 목표를 달성하기 위한 행위의 계획이다.,Information Technology,0.6
기록물관리기관의 장이 기록물의 생산부터 활용까지의 전 과정에 걸쳐 보장될 수 있도록 관리하여야 할 성질이 아닌 것은?,4,진본성,무결성,신뢰성,보편성,Information Technology,0.6364
정보통신서비스 제공자가 이용자의 개인정보를 이용하려고 수집하는 경우 이용자에게 알리지 않아도 되는 것은?,1,개인정보의 제공 업체,개인정보의 수집 목적,수집하는 개인정보의 항목,개인정보의 보유 기간,Information Technology,0.6154
소프트웨어산업의 진흥?발전을 효율적으로 지원하기 위한 사업을 할 수 있는 곳은?,4,지식경제부,방송통신위원회,정보통신산업협회,정보통신산업진흥원,Information Technology,0.7273000000000001
목표지행적 사무관리에서 가장 중점을 두는 것은?,4,의사소통,종업원 사기앙양,직무만족,능률,Information Technology,0.7273000000000001
"정신적, 육체적 난이도를 평가하여 각종 직무 간 상대적 서열을 결정하는 절차를 무엇이라 하는가?",4,직무분석,인사고과,인사관리,직무평가,Information Technology,0.8181999999999999
“사무조직은 비합리적 사람중심이 아니라 목적달성을 위해 해야 할 업무중심의 조직이 마련되어야 한다.”라는 조직 원칙은?,4,위양의 원칙,통솔범위의 원칙,전문화의 원칙,기능화의 원칙,Information Technology,0.7273000000000001
저작권의 등록시 저작자가 등록하지 않아도 되는 것은?,2,저작자의 국적,저작물의 보호기간,저작물의 종류,공표의 여부,Information Technology,0.5455
저작권의 발생 시점으로 옳은 것은?,3,저작물을 입법예고한 때부터,저작물을 공표한 때부터,저작물을 창작한 때부터,저작물을 등록한 때부터,Information Technology,0.8181999999999999
수식 구문의 표기법 중 연산자를 피연산자 사이에 표기하는 방법으로서 일반적으로 가장 많이 사용되는 표기법은?,3,PREFIX NOTATION,POSTFIX NOTATION,INFIX NOTATION,FIRST NOTATION,Information Technology,0.8332999999999999
어휘 분석은 원시 프로그램을 하나의 긴 스트링으로 보고 원시 프로그램을 문자 단위로 스캐닝하여 문법적으로 의미 있는 일련의 문자들로 분할해낸다. 이때 분할된 문법적인 단위는?,3,ID,PATTERN,TOKEN,PARSE,Information Technology,0.8332999999999999
단항 연산에 해당하지 않는 것은?,2,not,or,shift,move,Information Technology,0.6923
"C언어의 FOR문, COBOL 언어의 PERFORM 문에 해당하는 것은?",1,반복문,종료문,입출력문,선언문,Information Technology,0.8332999999999999
C언어에서 문자열 입력시 사용하는 함수는?,1,gets(),getchar(),puts(),putchar(),Information Technology,0.7692
현재 실행 중인 프로세스의 남은 시간과 준비상태 큐에 새로 도착한 프로세스의 실행 시간을 비교하여 가장 짧은 실행 시간을 요구하는 프로세스에게 CPU를 할당하는 스케줄링 기법은?,4,FIFO,HRN,RR,SRT,Information Technology,0.9167
C언어의 변환 문자 형식 중 인수를 16진수 정수로 변환하는 것은?,2,%d,%x,%c,%f,Information Technology,0.5832999999999999
교착상태의 해결 방법 중 자원 할당 그래프와 가장 연관되는 것은?,4,Prevention,Avoidance,Recovery,Detection,Information Technology,0.4167
C언어에 대한 설명으로 틀린 것은?,4,이식성이 높은 언어이다.,많은 데이터형과 풍부한 연산자를 가지고 있다.,범용 프로그래밍 언어이다.,융통성을 중시하는 인터프리터 언어이다.,Information Technology,0.6154
"작성된 표현식이 BNF의 정의에 의해 바르게 작성되었는지를 확인하기 위해 만든 트리로서, 루트, 중간, 단말노드로 구성되는 것은?",3,구조트리,중간트리,파스트리,정의트리,Information Technology,0.7273000000000001
운영체제의 성능 평가요소가 아닌 것은?,1,비용,반환 시간,신뢰도,처리 능력,Information Technology,0.7273000000000001
가상기억장치 관리에서 너무 자주 페이지 교체가 일어나서 시스템의 심각한 성능저하를 초래하는 현상은?,3,locality,segmentation,thrashing,working set,Information Technology,0.75
전송속도가 9600[bps]인 데이터를 8진 PSK로 변조하여 전송할 때 변조속도는 몇 [baud]인가?,3,1600,2400,3200,4800,Information Technology,0.6
"LAN에서 데이터의 충돌을 막기 위해 송신 데이터가 없을 때에만 데이터를 송신하고, 다른 장비가 송신 중 일 때에는 송신을 중단하며 일정시간 간격을 두고 대기하였다가 다시 송신하는 방식은?",3,TOKEN BUS,TOKEN RING,CSMA/CD,CDMA,Information Technology,0.8181999999999999
